Variable Name,Units,Definition,Type,Comments,Possible Scenario Grouping
AHC.NPV_Revs_Net_of_Op_Cost,US Dollars,"Calculates the net present value of the revenues net of operating costs, associated with the &quot;next&quot; facility investment",Array | Internal Calculation,,
AHC.NPV_Taxes,US Dollars,Calculates the net present value taxes associated with the &quot;next&quot; facility investment,Array | Internal Calculation,,
AHC.NPV_Taxes_1,US Dollars,Calculates net present value of taxes for first years of plant productive life.  Specific time for NPV calculation is controlled by SMALLER of depreciation period or loan term,Array | Internal Calculation,,
AHC.NPV_Taxes_2,US Dollars,Calculates net present value of taxes during portion portion of commercial-scale plant lifetime AFTER depreciation OR loan period--whichever is shorter-- and BEFORE both loan repayment and depreciation are completed,Array | Internal Calculation,,
AHC.NPV_Taxes_3,US Dollars,Calculates net present value of taxes during portion portion of plant lifetime AFTER depreciation and loan period,Array | Internal Calculation,,
AHC.Number_of_Doublings_of_Cume_Output,doubling,Accumulates the number of doublings of cumulative pathway output,Array | Internal Calculation,,
AHC.Number_of_Doublings_of_PC_Experience,doubling,Accumulates the number of doublings of cumulative pre commercial scale experience,Array | Internal Calculation,,
AHC.Number_of_Doublings_of_Pilot_Experience,doubling,Accumulates the number of doublings of cumulative pilot scale,Array | Internal Calculation,,
AHC.number_of_plants_to_start,Projects,Integerizes the quantity in the plant start accumulator stock.  Used to support discrete movement of projects into design and construction,Array | Internal Calculation,,
AHC.one,Unitless,the loneliest number--3 dog night,scalar | constant,,
AHC.one_billion,per billion,one billion,scalar | constant |unit conversion,,
AHC.one_dollar_per_gal,USD per gallon,one,scalar | constant |unit conversion,,
AHC.one_dollar_per_ton,USD per ton,one,scalar | constant |unit conversion,,
AHC.one_hundred_PCT,percent,one hundred,scalar | constant |unit conversion,,
AHC.one_million,per million,one million,scalar | constant |unit conversion,,
AHC.one_project,projects,one project,scalar | constant |unit conversion,,
AHC.OnLine,Projects,Calculates commercial scale operations that are currently on line,Array | Internal Calculation | Module Interface,,Program Scenarios
AHC.op_cost_scale_factor,Unitless,exponent for scale factor for operating cost,Array | constant |Techno Economic Input,,
AHC.Op_Experience_Per_Year,HoursPerProjectPerYr,"Hours of experience generated per year of operation, for pre commercial scale operations",scalar | Constant |Techno Economic Input,,Program Scenarios
AHC.ORNOVOC_influx,projects-usd/yr^2,"Calculates the state of the industry other rev net of vbl op cost, applying it to influx of full commercial-scale plantsinto design and construction.  Resultant downstream structure used to track the attribute for commercial facilities.",Array | Internal Calculation,,
AHC.ORNOVOC_Retirements,projects-usd/yr^2,"Calculates the outflux of other revenue net of variable operating cost, associated with retirement of on-line facilities",Array | Internal Calculation,,
AHC.ORNOVOC_to_Startup_C,projects-usd/yr^2,"Calculates the movement of other revenue net of variable operating cost, associated with facilities coming on-line.",Array | Internal Calculation,,
AHC.Other_rev_net_of_vbl_cost_per_gal,USD per gallon,"Calculates other revenues net of operating costs, on a per gallon of production basis, for on line facilities",Array | Internal Calculation | Module Interface,,
AHC.other_rev_scale_factor,Unitless,"exponent for scale factor for other (coproduct, power sales) revenue",Array | constant |Techno Economic Input,,
AHC.output_bb_gpy_by_tech,billion GPY,Calculates flow of fuel production in billion gallons per year,Array | Internal Calculation,,
AHC.Output_Capacity,gallons per year,Calculates total commercial scale industry output per year under full utilization for on line facilities,Array | Internal Calculation | Sector Interface | Module Interface,,
AHC.Output_Capacity_incl_Pipeline,gallons per year,"Calculates total commercial scale industry output per year under full utilization, including both on line facilites and facilities under development",Array |  Module Interface,,
AHC.Output_Capacity_Pipeline,gallons per year,Calculates total commercial scale industry output per year under full utilization for facilities under development,Array | Internal Calculation,,
AHC.Output_gpy_by_Technology,gallons per year,Calculates total output by conversion pathway,Array | Internal Calculation | Sector Interface | Module Interface,,
AHC.P_Success,Unitless,"Calculates probability that facility will successfully be developed, based on commercial maturity input",Array | Internal Calculation,provides an output diagnostic metric only,
AHC.PC_dev_time,years,Dwell time between initiation and completion of pre commercial (PC) development effort,scalar | Constant | Techno Economic Input,,
AHC.PC_learning_logic,per year,Calculates rate of increase in maturity at pre commercial (PC) level,Array | Internal Calculation,,
AHC.PC_Maturity,Unitless,Calculates current state of maturity at pre commercial (PC) level,Array | Internal Calculation,,
AHC.PC_maturity_gap,Unitless,"Difference between full maturity (i.e., maturity =1) and current level of pre commercial (PC) maturity",Array | Internal Calculation,,
AHC.PC_op_time,years,Assumed time for pre commercial (PC) operations to be on-line and generating learning,scalar | Constant | Techno Economic Input,,Program Scenarios
AHC.PC_Progress_Ratios,1/doubling,Assumed progress ratio for learning curve at pre commercial (PC) level,Array | Constant | Techno Economic Input,,Progress Ratios
AHC.PC_Projects_in_Development,Projects,Calculates the total number of pre commercial (PC) projects that are in development but not yet operational,Array | Internal Calculation,,Program Scenarios
AHC.PC_Scale_Operations,Projects,Calculates the total number of pre commercial (PC) projects that are operational and generating learning,Array | Internal Calculation,,Program Scenarios
AHC.PC_start,Projects,Defines scenario over time for annual pre-commercial (PC) project starts.  Projects spend time in development before becoming operational,Array | Graphical function | scenario input,,Program Scenarios
AHC.per_plant_L_G_exposure_C,US Dollars,Calculates the per-project exposure associated with loan guarantees for the &quot;next&quot; facility investment,Array | Internal Calculation,,
AHC.Pilot_dev_time,years,Dwell time between initiation and completion of pilot development effort,scalar | Constant | Techno Economic Input,,Program Scenarios
AHC.pilot_learning_logic,per year,Calculates rate of increase in maturity at pilot level,Array | Internal Calculation,,
AHC.Pilot_Maturity,Unitless,Calculates current state of maturity at pilot level,Array | Internal Calculation,,
AHC.pilot_maturity_gap,Unitless,"Difference between full maturity (i.e., maturity =1) and current level of pilot maturity",Array | Internal Calculation,,
AHC.Pilot_Multipliers,Unitless,"Translates pilot-scale maturity into a set of multipliers that characterize the &quot;current&quot; state of technology from the perspective of piloting AND demoing. Captured as weighted average, with weighting factor dynamically determined by indices of demo maturity. After winding through multiple learning curves, resultant multiplier is applied to mature industry values to define attributes of each technology.",Array | Internal Calculation,,
AHC.Pilot_Multipliers_FS,Unitless,"Translates pilot-scale maturity into a multiplier that characterizes the &quot;current&quot; state of feedstock production cost from the perspective of piloting AND demoing. Captured as weighted average, with weighting factor dynamically determined by indices of demo maturity. After winding through multiple learning curves, resultant multiplier is applied to mature industry values to define attributes of each technology.",Array | Internal Calculation,,
AHC.pilot_op_experience_per_year,HoursPerProjectPerYr,Provides an estimate of the number of hours each year that each pilot-scale operation is generating experience,scalar | Constant | Techno Economic Input,,Program Scenarios
AHC.Pilot_op_time,years,Assumed time for pilot operations to be on-line and generating learning,scalar | Constant | Techno Economic Input,,Program Scenarios
AHC.Pilot_Progress_Ratios,1/doubling,Assumed progress ratio for learning curve at pilot scale,Array | Constant | Techno Economic Input,,Progress Ratios
AHC.Pilot_Projects_in_Development,Projects,Calculates the total number of pilot projects that are in development but not yet operational,Array | Internal Calculation,,Program Scenarios
